Location,Site_Code,POINT_X,POINT_Y
Longdraw - Reservoir,LNGR,-105.7725203,40.50086976
Longdraw - Outflow,LNGO,-105.7709356,40.50367919
Peterson - Outflow,PTRO,-105.7928918,40.56063222
Peterson - Reservoir,PTRR,-105.793993,40.55935863
Joe Wright - Reservoir,JOER,-105.8749515,40.55593093
Joe Wright - Outflow,CBRI,-105.8572669,40.57794629
Chambers - Outflow,CHD,-105.8427182,40.60232576
Chambers - Reservoir,CBRR,-105.8432594,40.60437763
Joe Wright - Inflow,JOEI,-105.8831594,40.5401245
Barnes - Outflow,BMD,-105.8363862,40.60059258
Barnes - Reservoir,BRNR,-105.8333281,40.60085972
Chambers - Inflow,CBRI,-105.8572669,40.57794629
Hourglass - Inflow,HORI,-105.6409321,40.58050908
Comanche - Outflow,COMO,-105.6440011,40.58460484
Comanche - Reservoir,COMR,-105.6455009,40.58530862
Hourglass - Reservoir,HORR,-105.6314023,40.58203201
Hourglass - Outflow,HORO,-105.6309523,40.58287424
Comanche - Inflow,COMI,-105.6626,40.5858963
